Character 1,Character Label 1,Dependency Relation 1,Verb,Dependency Relation 2,Character Label 2,Character 2
I,Hero,subject,have appointed,object,Hero,many more women
Switzerland,Hero,subject,has supported,object,Hero,"the NGO Working Group  on Women, Peace and Security, PeaceWomen and the  Global Network of Women Peacebuilders"
Chile,Hero,subject,co-sponsored,conj,Hero,"the  Women, Peace and Security National Focal Points  Network"
Resolution 1325 (2000),Hero,subject,acknowledged,ccomp,Victim,women
Resolution 1325 (2000),Hero,subject,acknowledged,ccomp,Hero,women
The international community,Hero,subject,attaches,object,Hero,women
the  Department of Peacekeeping Operations,Hero,subject,has mandated,ccomp,Victim,women
world leaders,Hero,subject,stressed,object,Hero,women
women,Hero,subject,will be reflected,advcl,Hero,they
women,Hero,subject,will be reflected,advcl,Victim,they
women,Victim,subject,will be reflected,advcl,Hero,they
women,Victim,subject,will be reflected,advcl,Victim,they
the Security Council,Hero,subject,has reaffirmed,object,Victim,women in armed conflict
women and girls,Victim,subject,has been strengthened,oblique,Hero,"the International Criminal Court (ICC),  the ad hoc and mixed tribunals, and the specialized  chambers in national tribunals"
We,Hero,subject,deploy,object,Hero,women police
we,Hero,subject,want,advcl,Hero,women in our military  contingents
We,Hero,subject,welcome,object,Hero,Justice Rapid  Response and UN-Women
We,Hero,subject,support,object,Hero,Justice Rapid  Response and UN-Women
My Government,Hero,subject,attaches,object,Victim,women and girls
"men,  women and children",Victim,subject,are abused,obl:agent,Villain,the Blue Helmets
We,Hero,subject,condemn,object,Villain,all those parties that perpetuate acts of  violence and abuse against women and children
we,Hero,subject,underscore,object,Hero,national and local women's groups
women,Hero,subject,produces,advcl,Victim,"they, together with children"
the Security Council,Villain,subject,address,object,Victim,women and  girls
Egypt,Hero,subject,accords,object,Victim,women
Egypt,Hero,subject,accords,object,Hero,women
they,Hero,subject,took,advcl,Hero,women
they,Victim,subject,took,advcl,Hero,women
An ancient Chinese philosopher,Hero,subject,captured,object,Hero,women
the Japanese Government,Hero,subject,dispatched,object,Hero,seven women  peacekeepers
The  Government of Japan,Hero,subject,increase,object,Hero,women
Indonesia,Hero,subject,condemns,oblique,Victim,women and  girls in armed conflicts
Women,Victim,subject,be represented,oblique,Hero,resolution 1325 (2000)
Women,Hero,subject,be represented,oblique,Hero,resolution 1325 (2000)
we,Hero,subject,have built,object,Victim,women and children
Grass-roots women's organizations,Hero,subject,have sponsored,parataxis,Hero,groups advocating peace across party and ethnic lines
Grass-roots women's organizations,Hero,subject,have sponsored,parataxis,Hero,the  Organization of African Unity (OAU) African  Women's Committee on peace and development
The United States,Hero,subject,applauds,object,Hero,these women
gender advisors,Hero,subject,should draw,oblique,Hero,women's community groups
the United States,Hero,subject,has supported,object,Hero,the Rwanda Women's Initiative
The  Department of State,Hero,subject,has provided,object,Hero,the  Women's Commission for Refugee Women and  Children
Those programmes,Hero,subject,not provide,object,Victim,women in war-torn areas
My  delegation,Hero,subject,supports,object,Hero,"the Standing  Committee on Women, Peace and Security"
